id,T1_stressed_schwa,T1_schwa,T2_stressed_schwa,T2_schwa,euclidean,Alter,Geschlecht,Dialektgebiet
1000,5.22788635994896,4.97329578841736,10.8481766954709,11.5962670048897,0.790224949086733,35 bis 44,Weiblech,Zentrum
1004,4.79656000443556,5.36307034100763,11.4472088699122,11.701752449099,0.621068752352129,65+,Weiblech,Zentrum
1005,5.25549329180993,5.93053701744889,10.485297843383,11.4133222079164,1.14756840871996,35 bis 44,Männlech,Süden
1006,5.224610719365,5.05893546563283,10.2567247536103,10.0955722557595,0.231124246375797,25 bis 34,Weiblech,Süden
1008,5.11719158665253,4.84444036095762,10.8097374373163,10.6996843206757,0.2941171868497,45 bis 54,Weiblech,Norden
1009,5.17165562730481,4.60229369434871,10.9219605950077,11.2822760585109,0.673795402135615,55 bis 64,Weiblech,Osten
1010,5.28884096801541,5.23522035353228,10.5374638399844,11.3922817942467,0.856498047415676,45 bis 54,Männlech,Süden
1013,5.60374256919055,5.73500682609129,11.2505982846461,11.7809052542244,0.546311071755893,55 bis 64,Weiblech,Süden
1016,4.67451884406779,4.95242618257638,11.1270157749048,11.8594059472864,0.783344019826561,65+,Weiblech,Zentrum
1017,4.87144796612721,4.99821440894702,11.4724323786858,11.7788521009608,0.331606358841711,65+,Männlech,Zentrum
1018,4.97339880245734,4.62977905073165,11.6893481833107,11.7375641322524,0.346986039356582,45 bis 54,Weiblech,Süden
1020,4.54098080426563,4.54003653742938,10.3163295514304,11.3092530995252,0.992923997091957,55 bis 64,Männlech,Zentrum
1021,5.02133685471422,5.29525870696855,11.8201720421049,11.780014137939,0.276849848129709,35 bis 44,Weiblech,Zentrum
1022,4.71320756617343,4.65612052922096,11.0182454679376,11.3004639903774,0.287934409538248,45 bis 54,Weiblech,Zentrum
1023,4.48323906204244,4.44362669473627,10.3931386285322,11.8560251272625,1.4634227167196,≤ 24,Männlech,Süden
1025,5.04835848040607,4.59711676977745,11.410629709108,12.002872729431,0.744560861536759,≤ 24,Weiblech,Norden
1026,6.0550651850963,5.07476944640688,10.6505106593381,11.0552806453476,1.06057459750209,45 bis 54,Weiblech,Süden
1029,4.51928861064684,4.98246562656273,10.811936111893,11.6986007359211,1.00035348931043,45 bis 54,Männlech,Süden
1031,4.84936643591669,4.6328451067192,11.9493006085106,11.7949644599121,0.265896846091956,25 bis 34,Weiblech,Zentrum
1032,5.00200987749112,4.63685758876226,10.662132950076,10.7844498372904,0.385094293468149,25 bis 34,Weiblech,Zentrum
1033,4.91711080329659,4.72695768738882,12.2329315387887,11.8743551835871,0.405875855402953,25 bis 34,Weiblech,Zentrum
1034,5.43180236378423,4.90882136654239,11.5266570699855,12.261892448222,0.90226392196888,45 bis 54,Weiblech,Norden
1035,5.37946826129971,5.00068346550778,11.0146140049203,11.7934944717138,0.866102016552138,45 bis 54,Weiblech,Osten
1036,4.49954229887179,5.08252165765098,10.7868417978454,10.6711023711625,0.594357255908834,≤ 24,Männlech,Süden
1039,6.18144547733812,4.92739171223824,11.9300077944848,11.9155179074871,1.25413747355958,55 bis 64,Weiblech,Norden
1041,4.75143524006424,4.82320905164553,10.5908474465828,11.9274364401345,1.33851470582604,25 bis 34,Weiblech,Osten
1042,4.92549731175647,4.90375236213871,11.9236828728244,13.0787495759265,1.15527136701684,25 bis 34,Weiblech,Osten
1043,4.43224913747956,4.48494544182904,11.3098038984657,11.6278326906051,0.322365030860619,≤ 24,Weiblech,Süden
1045,5.07769911842296,4.96557030737889,11.3276588337519,11.389173472401,0.127894179047706,35 bis 44,Weiblech,Zentrum
1046,5.52273400031788,5.01984415086602,11.8004893723738,11.9176651369195,0.516360688355133,55 bis 64,Weiblech,Osten
1048,5.20392060469898,5.43055646878804,11.5888783462316,11.2709073568959,0.390473257663745,25 bis 34,Männlech,Zentrum
1052,4.85123313530968,4.43697275130203,11.2960200216228,11.616990644273,0.524055155840129,≤ 24,Weiblech,Süden
1053,5.5067788086189,4.63695430690216,11.1801031424592,11.3135329370754,0.879998962430122,≤ 24,Weiblech,Zentrum
1054,5.07852743550987,4.8367044437576,11.7896591604169,11.5425184882276,0.345769968606607,25 bis 34,Männlech,Osten
1057,5.49037081305171,5.0186350999699,10.9149054231633,10.885481297815,0.472652475027168,25 bis 34,Weiblech,Zentrum
1058,5.10549858181279,5.47323833382244,11.0785978359353,11.6776086652275,0.702884413554248,45 bis 54,Weiblech,Norden
1060,4.4761138234785,4.57085007702261,10.685793603654,10.9075540075723,0.24114857345957,25 bis 34,Männlech,Norden
1061,5.16459558951283,4.73684519931002,11.2984220953875,11.1387188449803,0.456591200648119,25 bis 34,Weiblech,Zentrum
1063,5.27566955862993,4.4552602974466,11.0412499197263,11.5483537433722,0.964482059859928,≤ 24,Weiblech,Zentrum
1064,4.9399074806502,5.03652937463086,10.8594153067443,10.8852122173406,0.100006354761687,25 bis 34,Männlech,Zentrum
1066,5.85378522874182,5.8311798233573,12.3561888413417,11.5916579999767,0.764864963082352,≤ 24,Weiblech,Zentrum
1067,4.97506171174705,4.65125810908538,11.6283212029014,11.5729095324836,0.32851061826852,25 bis 34,Weiblech,Süden
1068,5.23441789313881,5.15236386044633,10.0430393628933,10.8369093691261,0.798099273948527,25 bis 34,Männlech,Süden
1069,5.58160601078853,5.15833089004749,12.0738047050657,11.8402511918646,0.483434660907666,≤ 24,Weiblech,Norden
1072,4.43988189207088,5.12093032047111,10.1714351406875,11.7973303686919,1.76277118602329,≤ 24,Männlech,Osten
1073,5.39413480693322,5.29788851621147,11.588343388898,13.030479072113,1.44534379207144,45 bis 54,Männlech,Süden
1074,5.07334861272258,4.46373788050739,11.4224569436413,12.1389543548625,0.940741082933381,55 bis 64,Weiblech,Osten
1075,4.99339042127462,4.69944680300135,11.7843405924154,11.2494928847846,0.610299042340318,≤ 24,Weiblech,Osten
1076,5.10978166558601,4.64392547874787,12.231923710052,12.0272477814315,0.508836145111572,≤ 24,Weiblech,Zentrum
1077,5.18403545436943,4.60173521414655,11.4187800585749,11.1268859112383,0.651364539265844,25 bis 34,Männlech,Süden
1078,5.47435056232626,4.66833298644987,11.1470708182757,11.5565382039249,0.904061874282995,45 bis 54,Weiblech,Osten
1079,4.52115942028985,4.03480484294302,9.07497085979962,10.5387022946498,1.5424170928367,35 bis 44,Männlech,Osten
1080,5.03417453533092,5.1812451611668,10.2678977892798,11.0687946351943,0.814288356038295,35 bis 44,Weiblech,Zentrum
1082,5.13014337883783,5.14956159756346,11.7179838936375,11.610299069149,0.109421609582329,45 bis 54,Weiblech,Süden
1089,4.23637217887407,4.48007167768842,12.8179925193421,11.8209212339353,1.02642125557943,≤ 24,Männlech,Norden
1090,5.10074894892469,4.87916917813798,11.5527225220759,12.8241974802827,1.29063789041268,35 bis 44,Männlech,Osten
1092,4.49141189885701,4.42298814911234,10.6595367781485,10.8252085336488,0.179245474418954,55 bis 64,Männlech,Süden
1093,5.59460652651436,5.44698720501468,12.1978659561169,12.0756728718063,0.191631453403042,55 bis 64,Weiblech,Süden
1094,4.43514456655777,5.56801456128605,11.0975036148391,11.7826858531367,1.32395963859714,25 bis 34,Männlech,Süden
1095,5.50282716606662,4.82702195876558,11.7475083890583,11.4822160130383,0.726011517119085,≤ 24,Weiblech,Süden
1098,5.45208547877649,5.23819541724547,11.3647493718508,11.7150710013572,0.410456090857125,55 bis 64,Weiblech,Süden
1101,4.72977464539928,4.94622137955637,11.0721439616638,10.9844298061399,0.233544346552304,45 bis 54,Weiblech,Zentrum
1102,4.91535253471282,4.40053316797611,11.3502168684913,11.1357447143565,0.557707168024933,≤ 24,Weiblech,Süden
1104,5.58331200626172,5.06257080412812,11.1202178838797,11.8086834620092,0.863224334613403,≤ 24,Weiblech,Osten
1110,4.93352017813233,4.89685864304905,12.2161551465591,11.8483758644727,0.369602040695952,≤ 24,Weiblech,Süden
